"BehaviorSpace results (NetLogo 6.1.1)"
"coc00031.nlogo"
"Allv3"
"03/02/2020 05:00:27:711 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-lanes","max-patience","acceleration","number-of-cars","deceleration","[step]","[speed] of selected-car"
"275","1","1","0.006","141","0.1","999","0"
"276","1","1","0.006","151","0.02","999","0"
"277","1","1","0.006","151","0.04","999","0"
"278","1","1","0.006","151","0.06","999","0"
"279","1","1","0.006","151","0.08","999","0"
"280","1","1","0.006","151","0.1","999","0"
"281","1","1","0.006","161","0.02","999","0"
"282","1","1","0.006","161","0.04","999","0"
"283","1","1","0.006","161","0.06","999","0"
"284","1","1","0.006","161","0.08","999","0"
"285","1","1","0.006","161","0.1","999","0"
"286","1","1","0.006","171","0.02","999","0"
"287","1","1","0.006","171","0.04","999","0"
"288","1","1","0.006","171","0.06","999","0"
"289","1","1","0.006","171","0.08","999","0"
"290","1","1","0.006","171","0.1","999","0"
"291","1","1","0.006","181","0.02","999","0"
"292","1","1","0.006","181","0.04","999","0"
"293","1","1","0.006","181","0.06","999","0"
"294","1","1","0.006","181","0.08","999","0"
"295","1","1","0.006","181","0.1","999","0"
"301","1","1","0.008","1","0.02","999","0"
"302","1","1","0.008","1","0.04","999","0"
"296","1","1","0.006","191","0.02","999","0"
"303","1","1","0.008","1","0.06","999","0"
"297","1","1","0.006","191","0.04","999","0"
"298","1","1","0.006","191","0.06","999","0"
"299","1","1","0.006","191","0.08","999","0"
"304","1","1","0.008","1","0.08","999","0"
"305","1","1","0.008","1","0.1","999","0"
"300","1","1","0.006","191","0.1","999","0"
"306","1","1","0.008","11","0.02","999","0"
"307","1","1","0.008","11","0.04","999","0"
"308","1","1","0.008","11","0.06","999","0"
"309","1","1","0.008","11","0.08","999","0"
"310","1","1","0.008","11","0.1","999","0"
"311","1","1","0.008","21","0.02","999","0"
"312","1","1","0.008","21","0.04","999","0"
"313","1","1","0.008","21","0.06","999","0"
"315","1","1","0.008","21","0.1","999","0"
"314","1","1","0.008","21","0.08","999","0"
"316","1","1","0.008","31","0.02","999","0"
"317","1","1","0.008","31","0.04","999","0"
"318","1","1","0.008","31","0.06","999","0"
"319","1","1","0.008","31","0.08","999","0"
"320","1","1","0.008","31","0.1","999","0"
"321","1","1","0.008","41","0.02","999","0"
"322","1","1","0.008","41","0.04","999","0"
"323","1","1","0.008","41","0.06","999","0"
"324","1","1","0.008","41","0.08","999","0"
"325","1","1","0.008","41","0.1","999","0"
"326","1","1","0.008","51","0.02","999","0"
"327","1","1","0.008","51","0.04","999","0"
"328","1","1","0.008","51","0.06","999","0"
"330","1","1","0.008","51","0.1","999","0"
"329","1","1","0.008","51","0.08","999","0"
"331","1","1","0.008","61","0.02","999","0"
"333","1","1","0.008","61","0.06","999","0"
"332","1","1","0.008","61","0.04","999","0"
"334","1","1","0.008","61","0.08","999","0"
"335","1","1","0.008","61","0.1","999","0"
"336","1","1","0.008","71","0.02","999","0"
"337","1","1","0.008","71","0.04","999","0"
"339","1","1","0.008","71","0.08","999","0"
"338","1","1","0.008","71","0.06","999","0"
"340","1","1","0.008","71","0.1","999","0"
"341","1","1","0.008","81","0.02","999","0"
"342","1","1","0.008","81","0.04","999","0"
"343","1","1","0.008","81","0.06","999","0"
"344","1","1","0.008","81","0.08","999","0"
"345","1","1","0.008","81","0.1","999","0"
"346","1","1","0.008","91","0.02","999","0"
"347","1","1","0.008","91","0.04","999","0"
"348","1","1","0.008","91","0.06","999","0"
"349","1","1","0.008","91","0.08","999","0"
"350","1","1","0.008","91","0.1","999","0"
"351","1","1","0.008","101","0.02","999","0"
"352","1","1","0.008","101","0.04","999","0"
"353","1","1","0.008","101","0.06","999","0"
"354","1","1","0.008","101","0.08","999","0"
"355","1","1","0.008","101","0.1","999","0"
"357","1","1","0.008","111","0.04","999","0"
"358","1","1","0.008","111","0.06","999","0"
"356","1","1","0.008","111","0.02","999","0"
"359","1","1","0.008","111","0.08","999","0"
"360","1","1","0.008","111","0.1","999","0"
"361","1","1","0.008","121","0.02","999","0"
"362","1","1","0.008","121","0.04","999","0"
"363","1","1","0.008","121","0.06","999","0"
"364","1","1","0.008","121","0.08","999","0"
"365","1","1","0.008","121","0.1","999","0"
"366","1","1","0.008","131","0.02","999","0"
"367","1","1","0.008","131","0.04","999","0"
"368","1","1","0.008","131","0.06","999","0"
"369","1","1","0.008","131","0.08","999","0"
"370","1","1","0.008","131","0.1","999","0"
"371","1","1","0.008","141","0.02","999","0"
